"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1240,9,6965.4730898,20647.587723,16.6915344,3388.6545634,2758.5142296,233.0346054,132.3582489,4.5435317
1245,9,7460.3557214,3816.4339295,105.2529995,23882.6586945,4259.3282518,318.3099642,143.3666362,6.5248255
1257,9,8036.2171811,14563.0808785,124.2336662,20239.4405655,4860.0483252,288.1216385,105.7025501,9.3815565
1258,9,8161.1839074,19856.6900002,440.7297375,245239.7625063,1346.6236586,221.1394112,86.1088288,6.9537796
1269,9,8980.2411559,11184.9060789,390.0147275,237419.2758063,1569.1283837,285.195085,112.4587292,7.2421231
1272,9,8996.9097025,20439.087668,506.9634049,283202.0657789,1872.4471024,279.1799588,123.414387,9.977598
1276,9,9179.639494,15938.618041,78.128446,4091.9635353,4180.6648908,120.6240316,24.2003622,8.7607399
1278,9,9419.4874281,4845.3802022,211.2028605,45867.6047202,4064.2200631,253.810149,84.9301105,9.9767157
1285,9,9930.7738559,15348.4614902,13.7342295,3091.3056586,4491.3569007,259.236151,104.3255063,5.2178611
1293,9,10693.5647191,21220.9708162,142.2244656,47782.0368588,4106.7943588,442.6891223,224.8052979,7.8317275
1302,9,11392.3277283,8220.6544296,91.9119726,13843.483695,4499.5743216,289.3312834,119.0764057,8.063329
1309,9,12131.9496909,21293.9428543,10.1861162,1760.8831938,4008.9843608,255.5898356,118.696607,8.4929896
1321,9,13362.0881746,18971.0536289,156.4313791,116957.3239543,4771.0013453,550.7513341,246.1365723,4.7716386
1323,9,13472.5711679,13086.7987604,128.8146734,64936.0422956,5335.9932383,593.4614401,354.518574,6.4228063
1324,9,13602.659777,5334.4932949,135.1151112,51422.7600162,3405.0407586,389.4369803,195.5040821,5.8371729
1330,9,14473.9049708,6390.2810762,126.4913354,37711.4329201,3214.7796256,304.9454334,131.1319445,5.535186
1340,9,15269.8664751,7945.7583759,121.6395723,48394.4444791,3108.0702193,306.2101766,133.1790739,4.0501336
1346,9,15966.5831867,18488.6520194,504.576604,384730.1524121,449.3414361,281.0816081,138.675488,7.3456046
1350,9,16441.4943008,11876.6428824,444.6935032,205683.9880608,1875.9819022,242.3197234,97.1942083,9.2074604
1357,10,3127.8618756,9598.333586,115.8958936,19638.7435362,3581.1631385,291.0436458,157.9132371,8.6095526
1366,10,4113.9041102,12103.71648,130.9569989,60238.819312,4622.717118,455.3431901,200.9957067,5.4931986
1371,10,4793.2889267,2221.7823466,282.7765809,88847.6245944,1518.3110561,202.4388771,86.8238524,7.3106182
1373,10,4750.6746492,7824.547044,367.3439556,156209.201805,2311.3804547,272.0598011,110.5288547,9.3075001
1385,10,5680.4978053,10840.3574328,7.339694,2188.5897481,4920.7836454,290.4313945,113.9497544,7.5045525
1388,10,5980.1607447,1723.949912,496.1051662,303027.7497284,683.919664,200.9655291,81.5192909,6.486994
1391,10,6345.8944184,19470.7795044,538.7086236,315862.2136168,1189.9376447,248.5619853,117.448846,9.0052676
1393,10,6391.7715437,8800.7864393,111.6960264,19372.6881876,3760.1131696,249.9284416,105.0556402,7.0373978
1403,10,7424.527629,3840.2508755,117.242062,29906.8455153,4176.8777724,314.6158366,132.4094619,6.2557971
1423,10,8972.8062732,649.7594698,362.8171675,123037.9899731,914.2103602,232.0009588,124.0551538,9.8418189
1434,10,9387.2226272,4789.2065762,244.7232568,69153.9576776,4006.3181092,257.8281484,80.1448112,8.9630028
1440,10,9723.2694247,3377.8442681,501.2339078,476423.4196254,874.0260552,468.5092283,303.7271236,9.7011438
1444,10,10067.490803,11880.947942,211.8293014,47123.816926,3496.6560502,231.380686,73.2678427,8.9210613
1453,10,10721.0797479,21244.2130025,115.7701236,31082.8926322,4749.9939594,379.6009934,188.3356794,7.0767277
1458,10,11265.730014,17240.8541105,418.2277713,421795.7577416,844.6683261,552.7962142,349.8187778,9.0190238
